time,open,high,low,close,tick_volume,spread,real_volume
2017-10-15,1304.124,1305.994,1276.306,1279.944,6777,150,0
2017-10-22,1274.778,1283.602,1263.36,1273.811,6779,150,0
2017-10-29,1272.554,1284.039,1265.391,1269.712,6780,150,0
2017-11-05,1270.501,1288.439,1266.031,1275.15,6839,150,0
2017-11-12,1275.223,1296.83,1269.824,1293.84,6834,150,0
2017-11-19,1293.464,1294.621,1274.297,1288.371,6412,150,0
2017-11-26,1287.427,1299.133,1270.367,1279.889,6838,150,0
2017-12-03,1273.83,1277.067,1243.205,1248.137,6839,150,0
2017-12-10,1248.601,1261.769,1236.445,1254.982,6836,150,0
2017-12-17,1253.823,1276.087,1252.727,1274.762,6839,150,0
2017-12-24,1278.706,1307.502,1277.026,1302.632,5097,150,0
2017-12-31,1307.421,1325.917,1305.757,1319.231,5099,150,0
2018-01-07,1319.525,1339.288,1308.08,1337.542,6831,150,0
2018-01-14,1336.878,1344.658,1324.145,1331.642,6582,150,0
2018-01-21,1333.8,1366.009,1328.35,1349.819,6893,150,0
2018-01-28,1349.64,1352.35,1327.434,1332.879,4266,150,0
2018-02-04,1331.76,1345.996,1307.04,1315.932,6891,150,0
2018-02-11,1314.95,1361.69,1314.145,1347.061,6891,150,0
2018-02-18,1347.25,1351.31,1320.924,1328.601,6658,150,0
2018-02-25,1328.2,1340.98,1302.773,1322.358,6891,150,0
2018-03-04,1323.682,1340.406,1312.78,1323.245,6888,150,0
2018-03-11,1322.7,1329.987,1309.655,1313.712,6831,150,0
2018-03-18,1313.13,1350.166,1307.165,1346.981,6830,150,0
2018-03-25,1350.1,1356.789,1321.22,1325.1,5451,150,0
2018-04-01,1326.21,1348.148,1319.548,1333.108,6827,150,0
2018-04-08,1333.65,1365.089,1326.836,1345.245,6831,150,0
2018-04-15,1342.258,1355.631,1334.954,1335.145,6831,150,0
2018-04-22,1332.97,1335.374,1315.229,1323.296,6831,150,0
2018-04-29,1322.9,1324.868,1301.765,1314.821,6831,150,0
